symbol,current_price,pnl,delta,gamma,theta,vega,dte,iv,iv_atm,intrinsic_value,layer,updated
SOL-26JUN26-66-P-USDT,1.1758,-0.75,-0.2961,0.0576,-0.1379,0.0342,8,0.6069,0.5555,0,active,2026-06-18
SOL-31JUL26-54-P-USDT,0.923,-0.15,-0.1131,0.0126,-0.0344,0.0451,43,0.6485,0.5436,0,anchor,2026-06-18
